GEOID,county_name,state,state_name,MRR2010,TractsHTC ,TotPopinHTCTracts,TotPopinHHsHTCTracts,TotPopACS18,TotUnder5,WhiteAloneOrCombo,BlackAloneOrCombo,AmerIndAloneorCombo,AsianAloneOrCombo,NatHawAloneOrCombo,Hispanic,TotPopBornOutUS,FB2010Plus,FB2000Plus,FBNotCit2010Plus,FBNotCit2000Plus,TotPopBornOutUS_IncNative,FB2010Plus_IncNative,FB2000Plus_IncNative,HH_SingleParent,TotHH,Owner_TOTAL,Renter_TOTAL,HHer15to34,HHer35to54,HHer55to64,HHer65plus,TotPopinHHs,HH_Crowded,HH_Owner_Crowded,HH_Renter_Crowded,Units_TOTAL,Units_2Plus,Units_10Plus,Moved2015later,Move10to14,Moved00to09,Moved90to99,Moved1989earlier,GroupQuarterACS18,NoInternet,Internet_NoSub,Internet,DialUpOnly,Broadband_Any,Cellular,CellularOnly,Broadband_CableFiberOpticDSL,Broadband_CableFiberOpticDSLOnly,Satellite,SatelliteOnly,OtherOnly,LEPHHs,LEPspanHHs,LEPindoeurHHs,LEPapacHHs,LEPotherHHs,Poverty_TOTAL,Poverty_Less100,Poverty_Less150,Poverty_Less200
16039,Elmore County,16, Idaho,0.799066942,1,3150,2703,26433,2081,23860,1026,643,1130,223,4406,2349,652,980,565,765,3084,778,1315,999,10285,5972,4313,3197,3258,1600,2230,25757,199,160,39,12441,1713,232,2314,3346,2508,1108,1009,676,1878,247,8160,55,8105,5225,886,6295,2365,988,404,31,348,288,0,35,25,25508,3513,7884,10792
16041,Franklin County,16, Idaho,0.830565719,0,0,0,13279,1021,12924,105,90,53,32,891,366,24,218,24,190,376,30,224,292,4294,3470,824,895,1577,748,1074,13226,161,105,56,4768,301,55,697,1119,1230,647,601,53,560,139,3595,38,3557,2619,344,2345,621,875,265,12,43,35,8,0,0,13237,1558,3028,4405
16043,Fremont County,16, Idaho,0.819781392,1,1085,1072,12965,832,12511,156,159,100,61,1628,653,151,285,151,272,766,176,316,311,4309,3503,806,776,1383,770,1380,12386,166,64,102,8896,366,64,555,896,1222,656,980,579,781,155,3373,63,3310,2308,468,2317,659,610,294,0,157,150,7,0,0,12298,1567,3134,4796
16045,Gem County,16, Idaho,0.839152542,0,0,0,17052,926,15807,53,535,256,26,1418,514,58,310,58,310,819,83,461,712,6583,4836,1747,846,2013,1409,2315,16916,121,69,52,7281,689,229,1171,1723,2085,912,692,136,1313,223,5047,104,4943,3256,796,3411,1372,846,194,11,183,183,0,0,0,16898,3091,4971,6782
16047,Gooding County,16, Idaho,0.825459318,0,0,0,15169,1024,14480,32,253,189,45,4413,1977,337,1044,297,888,2080,381,1114,545,5419,3699,1720,882,1905,927,1705,15071,260,157,103,6176,436,165,807,1415,1687,739,771,98,1270,207,3942,45,3897,2087,503,2468,1211,1042,489,14,277,277,0,0,0,15044,2395,3896,6247
16049,Idaho County,16, Idaho,0.808611657,0,0,0,16337,769,15470,56,799,133,12,540,225,30,30,25,25,347,33,54,311,6466,5040,1426,628,1634,1531,2673,15636,247,165,82,8761,288,73,1005,1271,1921,951,1318,701,1733,244,4489,134,4355,2429,442,2306,852,1908,834,61,26,10,0,0,16,15729,2289,4875,7385
16051,Jefferson County,16, Idaho,0.857790368,0,0,0,27969,2459,26313,129,315,265,77,2941,1097,156,411,148,342,1283,209,501,672,8647,6889,1758,1853,3224,1781,1789,27942,355,202,153,9232,552,136,1291,2130,2861,1138,1227,27,920,365,7362,125,7237,5566,962,5391,1315,1077,280,0,214,173,0,41,0,27879,2156,5477,10020
16053,Jerome County,16, Idaho,0.819766583,0,0,0,23431,2039,22464,153,334,185,84,8299,3652,899,2073,880,1854,4108,1118,2417,814,7828,5003,2825,1912,2647,1501,1768,23267,472,122,350,8450,617,161,1547,2069,2219,872,1121,164,1847,243,5738,98,5640,4019,990,3791,1262,943,273,10,785,785,0,0,0,22975,4136,7029,10123
16055,Kootenai County,16, Idaho,0.810278239,1,4207,4141,153605,9216,148357,1344,3862,2566,778,6918,3531,386,1065,386,589,4844,616,1407,6249,60497,42635,17862,10943,20520,11847,17187,151797,1075,488,587,69325,10371,4464,13386,18083,17413,7276,4339,1808,7906,2675,49916,249,49667,38381,6895,37742,9144,5906,1326,229,316,178,52,80,6,151761,18370,30428,48267
16057,Latah County,16, Idaho,0.81955583,0,0,0,39239,2137,37008,609,774,1441,125,1690,2438,1122,1637,1122,1349,2862,1131,1764,900,15530,8232,7298,5832,4002,2491,3205,35964,256,120,136,16790,5588,2557,4138,4883,3127,1943,1439,3275,1809,789,12932,120,12812,8935,1041,10216,2997,1565,546,173,85,4,57,22,2,36010,7413,10325,14089
16059,Lemhi County,16, Idaho,0.849116608,0,0,0,7798,371,7700,28,198,30,74,261,238,18,86,18,38,292,18,103,191,3549,2677,872,432,808,855,1454,7595,124,67,57,4846,390,50,572,1002,1052,428,495,203,684,75,2790,40,2750,1523,286,2157,1003,383,145,0,19,9,0,10,0,7669,1003,2270,3360
16061,Lewis County,16, Idaho,0.807768269,1,33,33,3845,210,3452,13,376,72,4,171,77,33,43,31,31,99,33,43,111,1632,1167,465,183,405,388,656,3798,39,29,10,1917,143,20,245,423,402,259,303,47,519,62,1051,20,1031,653,133,662,237,279,100,4,1,0,1,0,0,3788,537,1123,1602
16063,Lincoln County,16, Idaho,0.833822092,0,0,0,5321,362,5152,0,93,44,32,1607,771,212,509,212,476,808,212,509,147,1687,1166,521,252,679,312,444,5273,96,38,58,1997,87,15,231,355,646,264,191,48,440,96,1151,22,1129,679,191,484,176,453,252,4,115,115,0,0,0,5266,708,1628,2246
16065,Madison County,16, Idaho,0.854115084,0,0,0,38705,3859,37179,197,256,1012,411,2902,1556,624,982,617,881,1973,768,1164,475,10625,4925,5700,5412,2578,1206,1429,38214,868,216,652,13787,7238,4423,3868,2834,2196,861,866,491,618,1895,8112,59,8053,5754,844,6265,1895,989,335,38,91,55,0,36,0,38194,11636,17115,21719
16067,Minidoka County,16, Idaho,0.816253845,0,0,0,20615,1599,19814,39,383,130,22,7226,3173,192,1291,186,938,3231,192,1327,807,7279,5218,2061,1439,2577,1351,1912,20539,258,57,201,8085,864,185,1122,1681,1958,943,1575,76,1249,118,5912,60,5852,4619,1169,3976,1020,831,137,11,536,536,0,0,0,20387,3926,6404,9013
16069,Nez Perce County,16, Idaho,0.809292826,1,4829,4817,40155,2458,37026,367,2951,640,97,1547,619,173,230,117,126,951,191,377,1768,16302,11498,4804,3345,4949,3281,4727,39115,363,231,132,17739,3028,845,2839,4542,4496,2061,2364,1040,2886,534,12882,186,12696,8861,1733,9466,2951,1526,583,167,79,53,18,0,8,39029,5687,9211,12919
16071,Oneida County,16, Idaho,0.896043445,0,0,0,4326,271,4309,14,50,0,28,192,135,3,47,3,47,158,3,47,97,1585,1279,306,228,513,322,522,4295,52,52,0,1988,74,16,147,282,571,325,260,31,209,30,1346,18,1328,1076,276,861,212,170,25,0,27,27,0,0,0,4295,559,952,1580
16073,Owyhee County,16, Idaho,0.737760417,1,4516,4480,11455,771,9842,82,575,48,11,3048,1177,124,475,96,429,1212,127,478,377,4250,3000,1250,679,1436,870,1265,11318,260,191,69,4877,175,25,660,1080,1309,627,574,137,1152,142,2956,115,2841,1907,626,1445,571,754,284,50,368,355,4,0,9,11316,2388,3731,4887
16075,Payette County,16, Idaho,0.864853785,0,0,0,23041,1532,21701,118,589,438,13,3963,1560,33,579,33,528,1686,50,606,759,8768,6368,2400,1508,2951,1701,2608,22891,491,260,231,9349,879,239,1812,2459,2622,1043,832,150,1676,594,6498,87,6411,4761,962,4996,1381,707,147,9,118,100,0,18,0,22610,3074,5925,8371
16077,Power County,16, Idaho,0.843026005,0,0,0,7713,650,6015,4,406,0,22,2618,1173,91,274,81,262,1238,91,319,150,2581,1779,802,433,837,638,673,7642,90,22,68,3006,313,13,555,523,731,409,363,71,476,58,2047,1,2046,1663,383,1244,191,425,164,1,206,182,0,24,0,7649,731,2336,3497
16079,Shoshone County,16, Idaho,0.832404941,0,0,0,12526,768,12039,67,522,122,49,439,192,43,88,43,85,263,43,139,407,5540,3883,1657,820,1654,1307,1759,12219,123,26,97,7119,822,323,973,1513,1068,843,1143,307,1383,292,3865,16,3849,2525,530,2790,1045,560,230,9,40,27,13,0,0,12318,2136,3890,5170
16081,Teton County,16, Idaho,0.800259403,0,0,0,11080,784,10070,76,127,122,46,1895,956,187,397,187,393,1065,187,397,251,3736,2763,973,730,1568,709,729,11080,79,26,53,5707,790,186,620,1175,1198,583,160,0,467,117,3152,0,3152,2157,488,2230,738,465,217,0,117,110,7,0,0,11065,679,2046,2925
16083,Twin Falls County,16, Idaho,0.822895571,0,0,0,83666,6302,78301,711,1467,1800,273,13502,7068,1513,3464,1367,2923,7649,1620,3719,2947,30697,21051,9646,7043,10602,5521,7531,82457,824,213,611,32855,4373,1155,6648,9319,8117,3482,3131,1209,4680,1080,24937,238,24699,17766,3302,18455,5623,3397,1029,91,845,511,156,54,124,82390,12172,21542,31099
16085,Valley County,16, Idaho,0.822943826,0,0,0,10401,491,10337,28,44,58,3,190,60,12,35,12,13,80,12,35,233,3461,2725,736,279,1224,588,1370,10216,16,2,14,12228,1672,385,551,892,1080,615,323,185,315,288,2858,33,2825,1850,247,2360,670,340,111,0,14,14,0,0,0,10278,1023,1333,3625
16087,Washington County,16, Idaho,0.836814258,0,0,0,10025,470,9025,49,286,64,0,1718,639,4,235,4,226,683,4,241,514,4018,2824,1194,518,1204,782,1514,9896,109,70,39,4632,439,126,694,900,1166,647,611,129,1067,169,2782,59,2723,1754,487,1753,715,458,193,18,148,138,0,10,0,9934,1563,3422,4552
17001,Adams County,17, Illinois,0.860352457,0,0,0,66427,4120,62700,3300,410,824,61,1021,1030,235,427,170,238,1305,260,547,2583,27300,19566,7734,5120,8870,5205,8105,64950,285,172,113,30202,5235,1324,4022,7350,7398,3898,4632,1477,5585,856,20859,165,20694,14168,3493,15302,5227,2393,860,97,58,10,7,41,0,64844,7874,13417,19497
17003,Alexander County,17, Illinois,0.733017378,2,2738,2640,6532,460,4221,2354,53,6,21,73,43,6,23,6,23,49,6,23,328,2323,1656,667,209,724,563,827,6401,43,20,23,3985,728,399,273,536,593,397,524,131,1170,25,1128,16,1112,816,407,471,159,250,107,7,0,0,0,0,0,6440,1946,2637,3311
17005,Bond County,17, Illinois,0.814956696,0,0,0,16712,770,15287,1146,96,216,0,578,424,60,283,60,206,487,60,292,430,6218,4818,1400,859,2089,1353,1917,14956,208,34,174,7228,741,254,973,1447,1748,967,1083,1756,1396,114,4708,45,4663,3571,693,3034,629,1309,267,32,9,0,0,9,0,14965,2168,3567,4481
17007,Boone County,17, Illinois,0.844968217,0,0,0,53606,3062,47992,1640,760,898,109,11459,5486,583,1696,453,1305,5749,583,1810,2307,18731,14947,3784,2735,7585,3728,4683,53258,609,197,412,20065,2185,765,2417,4614,6466,3237,1997,348,2372,419,15940,98,15842,11816,1726,12757,3393,1587,279,112,415,368,47,0,0,53089,5843,9869,15463
17009,Brown County,17, Illinois,0.830978809,0,0,0,6675,275,5227,1373,68,37,0,286,207,41,122,41,74,229,41,130,143,2087,1584,503,388,699,396,604,4804,51,44,7,2456,243,76,210,519,540,401,417,1871,503,79,1505,22,1483,970,231,999,348,291,101,12,33,33,0,0,0,4804,482,901,1395
17011,Bureau County,17, Illinois,0.835397205,0,0,0,33381,1741,31664,472,224,357,11,2995,1242,134,360,111,296,1403,151,408,1493,13805,10539,3266,2165,4512,2780,4348,32946,172,62,110,15705,1748,569,1424,3177,3781,2124,3299,435,2681,455,10669,62,10607,7772,2060,7471,2302,1146,402,15,129,113,0,16,0,32878,4152,6834,9821
17013,Calhoun County,17, Illinois,0.829028926,0,0,0,4858,254,4798,23,32,41,0,57,37,3,13,3,12,39,3,13,93,1805,1516,289,162,528,441,674,4734,25,11,14,2882,135,10,131,261,562,359,492,124,568,22,1215,10,1205,446,105,941,640,180,82,10,0,0,0,0,0,4690,601,971,1308
17015,Carroll County,17, Illinois,0.896657023,0,0,0,14562,770,14154,275,101,133,10,523,329,23,86,23,61,386,38,101,452,6476,4937,1539,918,1817,1402,2339,14310,32,13,19,8463,814,302,640,1445,1749,1170,1472,252,1239,193,5044,30,5014,3499,812,3438,1193,733,171,65,38,25,13,0,0,14283,1589,2533,4093
17017,Cass County,17, Illinois,0.822168578,0,0,0,12665,820,11519,631,38,94,48,2374,1380,278,850,253,731,1516,372,944,589,5024,3751,1273,942,1705,994,1383,12488,141,95,46,5832,659,210,682,1307,1246,672,1117,177,1140,162,3722,37,3685,2645,758,2712,935,271,69,16,283,226,44,0,13,12494,1689,3197,4716
17019,Champaign County,17, Illinois,0.795570566,8,30958,26098,209448,11603,156222,30242,1270,24658,482,12239,25088,12697,18293,12299,15739,27651,13310,19350,6747,82499,44247,38252,29452,24570,13094,15383,193881,4144,470,3674,91667,33879,21392,20932,26462,17716,8382,9007,15567,10048,4887,67564,266,67298,45763,5525,58329,19666,5120,851,170,3584,672,629,2135,148,193809,40411,55644,72192
17021,Christian County,17, Illinois,0.828054299,0,0,0,33231,1707,32451,653,131,260,68,533,417,83,220,83,183,602,96,291,1557,13939,10386,3553,2578,4329,2822,4210,31488,167,78,89,15616,1625,693,2011,3613,3396,2179,2740,1743,2830,287,10822,165,10657,5480,947,9005,4702,1007,244,14,27,3,0,24,0,31464,4078,7251,10532
17023,Clark County,17, Illinois,0.863505287,0,0,0,15836,927,15584,140,78,112,0,247,178,6,85,6,69,188,6,85,717,6774,5007,1767,1309,2254,1262,1949,15619,106,46,60,7797,648,98,844,1718,2020,1081,1111,217,1607,429,4738,18,4720,3658,1284,2853,805,695,173,24,5,0,5,0,0,15551,1960,3528,5262
17025,Clay County,17, Illinois,0.857142857,0,0,0,13338,756,13099,79,89,159,115,196,130,5,74,5,64,150,7,76,716,5638,4342,1296,1009,1826,1164,1639,12993,191,94,97,6428,404,44,571,1559,1706,750,1052,345,1117,237,4284,23,4261,2878,659,3120,1123,560,205,12,47,32,14,0,1,13089,2100,3281,4594
17027,Clinton County,17, Illinois,0.877348404,0,0,0,37628,2076,35774,1566,177,327,4,1166,592,84,276,83,168,831,99,305,1208,14190,11195,2995,2288,4873,2979,4050,35392,211,74,137,15780,1235,410,1872,3309,3796,2224,2989,2236,2976,460,10754,127,10627,8097,974,8376,1967,1994,396,55,36,27,4,5,0,35500,3205,5641,8094
17029,Coles County,17, Illinois,0.811672002,1,4416,1595,51736,2430,48812,2448,318,724,145,1288,1218,547,745,542,647,1483,565,773,2321,21139,13023,8116,5780,5944,3984,5431,47788,235,61,174,23526,5937,2420,4388,6562,4382,2713,3094,3948,3751,1073,16315,44,16271,11433,1861,13769,4494,913,207,20,131,16,54,61,0,48114,10323,15795,19375
17031,Cook County,17, Illinois,0.769446716,495,1656913,1630646,5223719,327844,3066917,1281067,40293,427441,6225,1314232,1099659,159358,433053,143833,318724,1181225,172539,460216,214051,1963070,1116759,846311,415738,730587,359905,456840,5131695,66512,23082,43430,2188394,1176880,508355,338982,583204,492921,261409,286554,92024,324432,81532,1557106,7740,1549366,1146808,162077,1340617,363171,95284,11301,4416,151499,71298,49188,22963,8050,5138012,778020,1252648,1702742
17033,Crawford County,17, Illinois,0.874691865,0,0,0,19088,1026,17725,1254,124,249,20,668,359,6,161,6,97,455,6,173,677,7653,5984,1669,1429,2354,1535,2335,16930,101,36,65,8683,537,107,859,1885,1985,1161,1763,2158,1659,267,5727,127,5600,4076,1128,3731,1195,809,181,56,74,14,15,45,0,16971,1970,3420,5253
17035,Cumberland County,17, Illinois,0.822887521,0,0,0,10865,667,10725,93,79,57,31,114,106,15,45,15,27,131,15,45,321,4322,3423,899,716,1393,908,1305,10738,67,46,21,4873,277,49,433,961,1152,796,980,127,1013,90,3219,24,3195,2395,854,1848,575,534,153,10,2,0,0,2,0,10719,1501,2442,3209
17037,DeKalb County,17, Illinois,0.796814803,3,16920,12730,104200,6025,90148,9201,486,3389,122,11422,7226,2236,4180,2188,3554,8001,2428,4438,4056,37703,21478,16225,10893,12610,6596,7604,99433,675,189,486,41181,12138,5564,8419,10818,9858,4334,4274,4767,4040,1034,32629,115,32514,24850,4027,26584,6608,2383,497,187,605,333,87,91,94,99131,16326,24081,32243
17039,De Witt County,17, Illinois,0.828223694,0,0,0,16042,874,15743,91,315,5,10,430,250,23,61,23,55,314,65,103,565,6663,5288,1375,1155,2247,1386,1875,15772,98,46,52,7569,957,226,893,1530,1808,997,1435,270,1249,217,5197,22,5175,3890,675,3697,881,719,180,83,16,16,0,0,0,15766,1739,3046,4216
17041,Douglas County,17, Illinois,0.850436681,0,0,0,19714,1325,19189,236,134,153,44,1424,706,52,239,30,151,887,69,304,661,7618,5461,2157,1507,2413,1608,2090,19526,215,126,89,8442,1153,282,1194,2047,1719,1112,1546,188,1863,191,5564,35,5529,4110,774,4335,1179,544,127,16,171,98,70,3,0,19399,2170,4505,6076
17043,DuPage County,17, Illinois,0.838098903,7,34551,34361,931743,55318,742562,52480,6564,120082,1483,132004,177214,28261,73278,25137,50303,187338,29874,77261,23335,341823,250135,91688,55220,134655,71543,80405,918835,8084,2598,5486,359299,101277,63473,52789,87748,92831,56684,51771,12908,29572,7458,304793,1092,303701,236995,22840,273776,61453,15146,2340,359,15340,5763,5990,3283,304,918650,62203,108909,161799
17045,Edgar County,17, Illinois,0.822130712,0,0,0,17539,903,17272,97,12,219,0,201,248,50,130,50,70,367,76,183,963,7590,5742,1848,1219,2416,1590,2365,17204,59,40,19,8816,861,205,937,1684,1955,1184,1830,335,1773,224,5593,24,5569,4303,953,3686,929,1026,260,9,40,10,14,16,0,17217,2125,3395,5319
17047,Edwards County,17, Illinois,0.88694682,0,0,0,6507,374,6404,108,36,36,14,90,30,6,15,6,13,86,14,51,237,2776,2288,488,486,883,552,855,6454,37,37,0,3194,134,39,327,627,720,391,711,53,537,96,2143,28,2115,1428,406,1412,533,294,95,36,15,13,0,2,0,6414,659,1115,1826
17049,Effingham County,17, Illinois,0.87979915,0,0,0,34174,2234,33547,304,116,300,19,684,700,221,425,221,365,882,243,479,1222,13555,10526,3029,2698,4301,2809,3747,33698,266,145,121,14864,2014,645,1852,3216,3540,2132,2815,476,2322,366,10867,125,10742,7769,1339,8376,2589,1220,247,39,58,11,15,32,0,33555,3901,6649,9494
17051,Fayette County,17, Illinois,0.827263401,0,0,0,21724,1176,20460,1077,114,129,0,408,188,50,105,41,77,270,50,117,795,7616,6133,1483,1135,2441,1607,2433,19969,128,26,102,9315,631,161,839,1763,1974,1258,1782,1755,2228,165,5223,37,5186,3772,751,3835,1146,1071,185,22,13,0,13,0,0,19885,3551,5950,8267
17053,Ford County,17, Illinois,0.860546088,0,0,0,13398,735,12891,188,79,92,5,427,123,3,7,3,7,189,16,20,621,5779,4079,1700,1032,1967,1215,1565,13001,48,14,34,6367,663,181,830,1473,1364,924,1188,397,1093,122,4564,43,4521,3370,690,3262,986,562,130,23,0,0,0,0,0,12992,2048,3190,4219
17055,Franklin County,17, Illinois,0.829220205,0,0,0,39127,2275,38319,432,343,274,25,657,355,19,97,19,82,455,28,126,1819,16135,11910,4225,2456,5232,3095,5352,38660,242,169,73,18617,1737,474,2069,3902,4421,2607,3136,467,4415,515,11205,130,11075,8039,2165,7686,2464,1406,432,43,39,21,8,10,0,38334,7517,12179,16373
17057,Fulton County,17, Illinois,0.84743025,0,0,0,35418,1723,33775,1471,232,185,23,1043,627,130,366,122,332,791,162,435,1723,14090,10825,3265,2072,4705,2867,4446,32869,205,95,110,16310,1747,637,1804,3426,3607,2229,3024,2549,3051,392,10647,124,10523,7671,1897,7492,2272,1278,380,30,34,34,0,0,0,32810,5414,8790,11769
17059,Gallatin County,17, Illinois,0.814696486,0,0,0,5157,264,5076,61,66,45,0,75,39,0,0,0,0,51,0,0,322,2314,1738,576,354,696,447,817,5149,31,9,22,2748,259,17,297,584,509,274,650,8,642,108,1564,16,1548,1080,274,1092,364,251,51,8,8,0,8,0,0,5137,1005,1660,2195
17061,Greene County,17, Illinois,0.826388889,0,0,0,13218,660,12956,216,142,36,0,86,74,22,37,22,22,150,26,43,469,5005,3958,1047,733,1602,1056,1614,12932,61,43,18,6429,477,7,573,1042,1437,779,1174,286,1383,112,3510,73,3437,1760,486,2347,1326,645,286,27,6,6,0,0,0,12811,1848,2955,4683
17063,Grundy County,17, Illinois,0.847648089,0,0,0,50509,3142,48093,1064,213,583,23,4877,1901,211,652,136,362,2180,211,688,1886,19398,13799,5599,3851,7642,3656,4249,50183,238,140,98,20761,2955,940,3733,4770,5672,2767,2456,326,2598,671,16129,107,16022,11304,1392,13151,3978,1941,459,35,66,53,13,0,0,49943,4389,6559,10147
17065,Hamilton County,17, Illinois,0.836260979,0,0,0,8221,466,8043,31,23,49,0,198,131,25,66,25,35,145,25,66,230,3376,2721,655,521,1069,681,1105,8111,24,13,11,4100,144,39,205,750,1095,496,830,110,839,80,2457,21,2436,1707,430,1754,559,249,119,12,2,0,2,0,0,8131,771,1528,2271
17067,Hancock County,17, Illinois,0.864411557,0,0,0,18112,964,17873,219,153,108,0,268,229,30,91,30,53,290,43,110,581,7420,6047,1373,1011,2242,1615,2552,17835,89,48,41,9247,924,135,776,1447,2016,1360,1821,277,1901,246,5273,75,5198,3208,583,4150,1619,708,151,23,48,18,30,0,0,17894,2132,3962,5671
17069,Hardin County,17, Illinois,0.783371041,0,0,0,4009,131,3860,135,13,10,0,69,11,0,0,0,0,17,0,0,91,1438,1155,283,110,493,338,497,3900,13,13,0,2162,124,1,107,310,319,306,396,109,394,44,1000,8,992,568,118,833,381,98,34,0,0,0,0,0,0,3915,641,1092,1515
17071,Henderson County,17, Illinois,0.791039672,0,0,0,6884,330,6815,46,53,48,0,117,88,10,56,10,42,136,10,84,205,2990,2433,557,379,835,712,1064,6828,37,14,23,3865,142,15,214,779,797,488,712,56,642,31,2317,5,2312,1667,401,1627,549,310,59,2,0,0,0,0,0,6821,559,1149,2041
17073,Henry County,17, Illinois,0.859511793,0,0,0,49464,2741,47300,1440,244,374,0,2773,985,40,169,30,120,1269,52,265,1633,20023,15574,4449,3139,6696,3967,6221,48727,118,64,54,22180,2441,946,2052,4615,5803,3188,4365,737,4124,820,15079,201,14878,10933,2288,11588,3325,1313,364,30,111,91,17,3,0,48616,5784,9300,13154
17075,Iroquois County,17, Illinois,0.838709677,0,0,0,28169,1488,26514,461,154,154,66,1914,906,49,264,16,209,1059,119,353,1035,11779,9053,2726,1803,3650,2471,3855,27714,198,116,82,13492,1494,323,1381,2665,3118,1933,2682,455,2326,264,9189,72,9117,6731,1561,6054,1789,1570,474,32,106,91,13,2,0,27590,3849,6793,9435
17077,Jackson County,17, Illinois,0.767009258,3,11549,10968,58551,3018,46706,9688,687,2641,36,2530,3255,1440,2332,1400,1996,3701,1476,2382,2446,23728,12324,11404,7867,6601,3817,5443,54189,280,73,207,28996,9847,4021,5974,7530,4782,2457,2985,4362,4491,1199,18038,119,17919,12426,2679,13672,4778,1798,373,38,521,77,115,253,76,54289,14923,20677,25802
17079,Jasper County,17, Illinois,0.897050938,0,0,0,9598,583,9438,105,106,4,1,24,126,30,30,30,30,154,30,30,210,3656,3013,643,501,1255,817,1083,9526,55,40,15,4333,168,59,362,726,959,606,1003,72,875,114,2667,17,2650,1842,479,1707,627,574,142,3,1,0,1,0,0,9369,1223,1899,2688
17081,Jefferson County,17, Illinois,0.826018809,1,1519,1410,38169,2392,34284,3852,288,539,13,969,710,148,303,141,218,931,208,396,1750,15223,11065,4158,2893,4992,3064,4274,35619,211,164,47,16971,2264,1064,2329,3853,4151,2378,2512,2550,3005,470,11748,82,11666,9341,3217,6937,1779,1601,362,40,62,39,13,8,2,35525,6523,9569,13039
17083,Jersey County,17, Illinois,0.84736211,0,0,0,22069,1032,21856,441,141,86,0,302,296,58,185,58,137,376,58,205,608,8665,6992,1673,1255,2853,1957,2600,21072,83,46,37,10125,1042,271,999,1978,2717,1418,1553,997,2206,177,6282,149,6133,3342,757,4220,2164,1320,478,23,53,34,19,0,0,21109,1944,3525,4843
17085,Jo Daviess County,17, Illinois,0.902428207,0,0,0,21834,923,21477,244,104,144,29,648,518,6,96,6,85,628,9,125,589,9758,7626,2132,1266,2717,2092,3683,21629,129,28,101,13696,1330,329,1130,2130,2750,1597,2151,205,1814,342,7602,76,7526,5497,1125,4825,1356,1733,573,34,85,57,16,12,0,21617,1800,3649,5347
17087,Johnson County,17, Illinois,0.865207069,0,0,0,12602,603,11045,1494,23,59,0,403,213,25,79,13,48,287,31,85,388,4342,3653,689,555,1203,945,1639,10348,53,39,14,5632,337,66,356,1016,1429,722,819,2254,1399,118,2825,47,2778,2034,857,1605,563,432,124,8,0,0,0,0,0,10306,1211,2260,3362
17089,Kane County,17, Illinois,0.8289126,6,37601,37325,530839,34620,398209,34562,5297,24920,568,168385,93769,8889,35915,7678,27964,101257,9678,38388,18290,178050,130827,47223,26868,76170,35363,39649,525419,6518,2486,4032,186759,34201,13575,25796,48522,56994,27156,19582,5420,19221,3513,155316,563,154753,124283,16047,133111,27559,9919,1110,518,9382,7977,664,597,144,524493,52281,89471,133817
17091,Kankakee County,17, Illinois,0.808894562,4,10096,9775,111061,6620,90594,18054,626,1444,50,11317,5467,945,2418,678,1664,5922,1044,2615,4685,40050,27319,12731,7451,13830,8299,10470,105529,653,222,431,45515,8792,2289,6220,10419,11233,5887,6291,5532,7866,1385,30799,147,30652,22591,2944,25050,6804,3630,730,34,479,440,5,34,0,106517,15794,24791,33120
17093,Kendall County,17, Illinois,0.836528148,0,0,0,124626,8881,105443,10203,850,4911,22,22616,11591,1125,4611,771,2258,12717,1256,5049,4086,40407,33555,6852,7246,19645,6657,6859,124276,765,421,344,41683,3987,2030,5838,10200,16537,4573,3259,350,2641,621,37145,76,37069,28124,3190,32427,8364,2916,285,67,719,387,53,279,0,124009,6598,11207,22764
17095,Knox County,17, Illinois,0.846999277,0,0,0,50999,2750,44740,5030,422,689,0,2875,1614,617,1125,613,977,1804,663,1205,1993,20830,13627,7203,3449,6354,4204,6823,46775,350,65,285,23943,4328,1891,2520,5997,5201,3124,3988,4224,4883,894,15053,146,14907,10406,2396,11727,3951,1017,245,32,178,12,136,30,0,46840,8498,13855,18441
17097,Lake County,17, Illinois,0.842013711,6,22351,21654,703619,41245,560116,54879,5107,60495,1167,150590,131015,17072,49801,15346,36961,139947,18782,53154,22529,244672,179473,65199,35404,101429,52141,55698,685542,5807,2182,3625,263360,54207,29734,36284,65039,71613,41424,30312,18077,22778,4473,217421,843,216578,172494,18573,192474,40452,12190,1109,279,11659,6622,2836,2047,154,686112,56651,102286,147399
17099,LaSalle County,17, Illinois,0.831773115,0,0,0,110401,6126,104587,3591,601,1233,65,10473,3992,495,1245,439,1000,4432,514,1355,4488,44644,32348,12296,7717,14972,9346,12609,107063,522,212,310,50129,7362,2073,6266,10619,11668,7185,8906,3338,7523,1011,36110,277,35833,26743,5873,26620,7622,4114,924,134,550,401,21,128,0,106995,14458,23145,32449
17101,Lawrence County,17, Illinois,0.838981593,0,0,0,16189,840,14490,1662,208,121,9,616,299,51,174,51,152,396,52,180,669,6144,4367,1777,1149,2013,1165,1817,13795,190,89,101,7093,540,204,749,1746,1335,1073,1241,2394,1563,211,4370,25,4345,3126,780,3001,1017,616,137,16,23,10,0,13,0,13798,2302,3552,5266
17103,Lee County,17, Illinois,0.859230248,0,0,0,34527,1742,31928,2042,171,372,66,2077,953,53,296,53,181,1191,128,379,1152,13699,9975,3724,2355,4308,2990,4046,31245,175,108,67,15092,2043,615,2244,2853,3692,1988,2922,3282,2476,481,10742,36,10706,7685,1504,8074,2471,1229,408,30,72,25,17,30,0,31258,3392,5751,8753
